Here are 10 additional data points in CSV format:

ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
30000,150000,1,2,1,35,0,0,0,0,0,0,50000,60000,55000,58000,62000,68000,10000,12000,11000,13000,14000,15000,0
30001,80000,2,3,2,28,1,-1,-1,-1,-1,-1,20000,25000,28000,23000,26000,24000,5000,6000,5500,6500,7000,7500,1
30002,300000,1,1,1,42,2,2,2,2,2,2,150000,160000,170000,180000,190000,200000,20000,22000,21000,23000,24000,25000,0
30003,120000,2,2,2,38,0,0,0,0,0,0,40000,45000,42000,48000,50000,52000,8000,9000,8500,9500,10000,10500,1
30004,250000,1,3,1,45,1,2,2,2,2,2,100000,110000,120000,130000,140000,150000,15000,17000,16000,18000,19000,20000,0
30005,90000,2,1,2,32,0,0,0,0,0,2,25000,28000,26000,30000,32000,34000,5000,5500,5200,5800,6000,6200,1
30006,200000,1,2,2,40,-1,-1,-1,-1,-1,-1,60000,65000,70000,75000,80000,85000,10000,11000,10500,11500,12000,12500,0
30007,180000,2,2,1,36,2,2,2,2,2,2,90000,95000,100000,105000,110000,115000,11000,12000,11500,12500,13000,13500,1
30008,220000,1,1,2,44,0,0,0,0,0,0,70000,75000,80000,85000,90000,95000,9000,10000,9500,10500,11000,11500,0
30009,280000,2,3,1,48,1,-2,-2,-2,-2,-2,120000,130000,140000,150000,160000,170000,12000,14000,13000,15000,16000,17000,1
